rank;player_id;last_name;first_name;exported
1;jamesle01;James;LeBron;Y
2;hardeja01;Harden;James;Y
3;curryst01;Curry;Stephen;Y
4;duranke01;Durant;Kevin;Y
5;paulch01;Paul;Chris;Y
6;westbru01;Westbrook;Russell;Y
7;georgpa01;George;Paul;Y
8;leonaka01;Leonard;Kawhi;Y
9;davisan02;Davis;Anthony;Y
10;lillada01;Lillard;Damian;Y
11;butleji01;Butler;Jimmy;Y
12;irvinky01;Irving;Kyrie;Y
13;lowryky01;Lowry;Kyle;Y
14;wadedw01;Wade;Dwyane;Y
15;antetgi01;Antetokounmpo;Giannis;Y
16;greendr01;Green;Draymond;Y
17;griffbl01;Griffin;Blake;Y
18;walljo01;Wall;John;Y
19;howardw01;Howard;Dwight;Y
20;horfoal01;Horford;Al;Y
21;gasolma01;Gasol;Marc;Y
22;parketo01;Parker;Tony;Y
23;aldrila01;Aldridge;LaMarcus;Y
24;nowitdi01;Nowitzki;Dirk;Y
25;duncati01;Duncan;Tim;Y
26;thompkl01;Thompson;Klay;Y
27;jokicni01;Jokic;Nikola;Y
28;goberru01;Gobert;Rudy;Y
29;ibakase01;Ibaka;Serge;Y
30;iguodan01;Iguodala;Andre;Y
31;conlemi01;Conley;Mike;Y
32;millspa01;Millsap;Paul;Y
33;derozde01;DeRozan;DeMar;Y
34;loveke01;Love;Kevin;Y
35;anthoca01;Anthony;Carmelo;Y
36;johnsjo02;Johnson;Joe;Y
37;piercpa01;Pierce;Paul;Y
38;walkeke02;Walker;Kemba;Y
39;gasolpa01;Gasol;Pau;Y
40;ginobma01;Ginobili;Manu;Y
41;haywago01;Hayward;Gordon;Y
42;bealbr01;Beal;Bradley;Y
43;matthwe02;Matthews;Wesley;Y
44;batumni01;Batum;Nicolas;Y
45;gallida01;Gallinari;Danilo;Y
46;dragigo01;Dragic;Goran;Y
47;gordoer01;Gordon;Eric;Y
48;rondora01;Rondo;Rajon;Y
49;bryanko01;Bryant;Kobe;Y
50;embiijo01;Embiid;Joel;Y
51;noahjo01;Noah;Joakim;Y
52;lopezbr01;Lopez;Brook;Y
53;boshch01;Bosh;Chris;Y
54;willide01;Williams;Deron;Y
55;middlkh01;Middleton;Khris;Y
56;greenda02;Green;Danny;Y
57;rosede01;Rose;Derrick;Y
58;thomais02;Thomas;Isaiah;Y
59;holidjr01;Holiday;Jrue;Y
60;garneke01;Garnett;Kevin;Y
61;couside01;Cousins;DeMarcus;Y
62;townska01;Towns;Karl-Anthony;Y
63;bookede01;Booker;Devin;Y
64;mccolcj01;McCollum;CJ;Y
65;jordade01;Jordan;DeAndre;Y
66;chandty01;Chandler;Tyson;Y
67;redicjj01;Redick;JJ;Y
68;rubiori01;Rubio;Ricky;Y
69;randoza01;Randolph;Zach;Y
70;westda01;West;David;Y
71;teaguje01;Teague;Jeff;Y
72;hillge01;Hill;George;Y
73;bledser01;Bledsoe;Eric;Y
74;doncilu01;Doncic;Luka;Y
75;mitchdo01;Mitchell;Donovan;Y
76;tatumja01;Tatum;Jayson;Y
77;simmobe01;Simmons;Ben;Y
