rank;player_id;last_name;first_name;exported
;;Antetokounmpo;Giannis;
;;Brunson;Jalen;
;;Irving;Kyrie;
;;Garland;Darius;
;;Haliburton;Tyrese;
;;Durant;Kevin;
;;Leonard;Kawhi;
;;Mitchell;Donovan;
;;Lillard;Damian;
;;Tatum;Jayson;
;;Adebayo;Bam;
;;Butler;Jimmy;
;;Davis;Anthony;
;;Gilgeous-Alexander;Shai;
;;Doncic;Luka;
;;James;LeBron;
;;Jokic;Nikola;
;;Edwards;Anthony;
;;Curry;Stephen;
;;Booker;Devin;
;;Cunningham;Cade;
;;Banchero;Paolo;
;;Brown;Jaylen;
;;Siakam;Pascal;
;;Harden;James;
;;Jackson Jr;Jaren;
;;Holmgren;Chet;
;;Wembanyama;Victor;
;;Towns;Karl-Anthony;
;;Gobert;Rudy;
;;Young;Trae;
;;Murray;Jamal;
;;Mobley;Evan;
;;Green;Draymond;
;;Morant;Ja;
;;Beal;Bradley;
;;Williams;Jalen;
;;Fox;DeAaron;
;;White;Derrick;
;;Wagner;Franz;
;;Sabonis;Domantas;
;;McDaniels;Jaden;
;;Herro;Tyler;
;;Bridges;Mikal;
;;Hartenstein;Isaiah;
;;Allen;Jarrett;
;;DeRozan;DeMar;
;;Thompson;Amen;
;;Lavine;Zach;
;;George;Paul;
;;Turner;Myles;
;;Anunoby;OG;
;;Bane;Desmond;
;;Sengun;Alperen;
;;Randle;Julius;
;;Zubac;Ivica;
;;Reaves;Austin;
;;Maxey;Tyrese;
;;Ball;LaMelo;
;;Porzingis;Kristaps;
;;Hart;Josh;
;;Washington;PJ;
;;Porter Jr;Michael;
;;Simons;Anfernee;
;;Dort;Luguentz;
;;Powell;Norman;
;;Brooks;Dillon;
;;Murphy III;Trey;
;;Marshall;Naji;
;;Barnes;Scottie;
;;Thompson;Klay;
;;Hachimura;Rui;
;;Finney-Smith;Dorian;
;;Braun;Christian;
;;Smith;Jabari;
;;Daniels;Dyson;
;;Poeltl;Jakob;
;;Wiggins;Andrew;
;;Avdija;Deni;
;;Gordon;Aaron;
;;Horford;Al;
;;Nembhard;Andrew;
;;Wallace;Cason;
;;Holiday;Jrue;
;;White;Coby;
;;DiVincenzo;Donte;
;;Vassell;Devin;
;;Pritchard;Payton;
;;Harris;Tobias;
;;VanVleet;Fred;
;;Barnes;Harrison;
;;Caruso;Alex;
;;Castle;Stephon;
;;Murray;Keegan;
;;Camara;Toumani;
;;Reid;Naz;
;;Green;Jalen;
;;Kessler;Walker;
;;Markkanen;Lauri;
;;Lopez;Brook;
;;Ingram;Brandon;
;;Claxton;Nic;
;;Carter Jr;Wendell;
;;Ayton;DeAndre;
;;Smart;Marcus;
;;Paul;Chris;
;;Anderson;Kyle;
;;Brown;Bruce;
;;Brogdon;Malcolm;
;;Robinson;Mitchell;
;;Capela;Clint;
;;Poole;Jordan;
;;Murray;Dejounte;
;;Caldwell-Pope;Kentavious;
;;Vucevic;Nikola;
;;Huerter;Kevin;
;;Russell;DAngelo;
;;Quickley;Immanuel;
;;Williams;Grant;
;;Grant;Jerami;
;;Grimes;Quentin;
;;Jones;Herbert;
;;Hunter;DeAndre;
;;Westbrook;Russell;
;;Conley;Mike;
;;Lowry;Kyle;
;;Martin;Caleb;
;;Bogdanovic;Bogdan;
;;Collins;John;
;;ONeale;Royce;
;;Giddey;Josh;
;;Valanciunas;Jonas;
;;Kuzma;Kyle;
;;McCollum;CJ;
;;Clarkson;Jordan;
;;Barrett;RJ;
;;Hield;Buddy;
;;Williamson;Zion;
;;Gordon;Eric;
;;Batum;Nicolas;
;;Middleton;Khris;
;;Williams;Robert;
;;Dinwiddie;Spencer;
;;Johnson;Cameron;
;;Strus;Max;
;;Fultz;Markelle;
;;Miller;Brandon;
;;Henderson;Scoot;
;;Coulibaly;Bilal;
;;Johnson;Jalen;
;;Jaquez Jr;Jaime;
;;Kuminga;Jonathan;
;;Nesmith;Aaron;
;;Jones;Tyus;
;;Jones;Tre;
;;Dosunmu;Ayo;
;;Podziemski;Brandin;
;;Prince;Taurean;
;;Monk;Malik;
;;Sexton;Collin;
;;Embiid;Joel;
;;Risacher;Zaccharie;
;;Sarr;Alexandre;
;;Missy;Yves;
;;McCain;Jared;
;;Eason;Tari;
;;Okongwu;Onyeka
;;Sharpe;Shaedon;
